Rank,Overall,Tier,Player,Tm,AGE,BYE,62S,ESPN points,ESPN - roto pts,rotoCal$,ESPN$,ESPN - roto $
#1,15,1,Jimmy Graham,NO,26,7,11,11,0,23.76,30,6.24
#2,46,2,Rob Gronkowski,NE,24,10,10,11,1,19.78,30,10.22
#3,66,2,Tony Gonzalez,ATL,37,6,9,8,-1,18.8,19,0.2
#4,67,2,Jason Witten,DAL,31,11,8,8,0,16.82,16,-0.82
#5,70,3,Vernon Davis,SF,29,9,8,7,-1,14.82,14,-0.82
#6,86,3,Greg Olsen,CAR,28,4,7,6,-1,12.85,11,-1.85
#7,89,3,Martellus Bennett,CHI,26,8,7,6,-1,12.85,8,-4.85
#8,92,3,Jermichael Finley,GB,26,4,7,6,-1,11.85,10,-1.85
#9,96,3,Jared Cook,STL,26,11,7,6,-1,11.85,9,-2.85
#10,100,3,Kyle Rudolph,MIN,23,5,7,6,-1,10.85,10,-0.85
#11,113,3,Jordan Cameron,CLE,25,10,6,5,-1,9.87,1,-8.87
#12,120,3,Owen Daniels,HOU,30,8,6,6,0,8.87,10,1.13
#13,121,4,Antonio Gates,SD,33,8,6,6,0,6.87,10,3.13
#14,127,4,Brandon Myers,NYG,27,9,6,6,0,5.87,10,4.13
#15,128,4,Brandon Pettigrew,DET,28,9,6,5,-1,5.87,2,-3.87
#16,165,4,Fred Davis,WAS,27,5,6,5,-1,4.87,1,-3.87
#17,129,4,Zach Sudfeld,NE,24,10,5,,,,,
#18,166,4,Rob Housler,ARZ,25,9,5,4,-1,2.89,0,-2.89
#19,175,5,Coby Fleener,IND,24,8,5,4,-1,0.89,1,0.11
#20,176,5,Dwayne Allen,IND,23,8,5,4,-1,,0,
#21,-,5,Zach Miller,SEA,27,12,5,3,-2,,0,
#22,-,5,Marcedes Lewis,JAC,29,9,5,4,-1,,0,
#23,-,5,Jermaine Gresham,CIN,25,12,5,4,-1,,1,
#24,-,5,Heath Miller,PIT,30,5,5,4,-1,,0,
#25,-,5,Tyler Eifert,CIN,22,12,5,4,-1,,0,
#26,-,6,Zach Ertz,PHI,22,12,4,,,,,
#27,-,6,Scott Chandler,BUF,28,12,4,4,0,,0,
#28,-,6,Delanie Walker,TEN,29,8,4,,,,,
#29,-,6,Brent Celek,PHI,28,12,4,4,0,,0,
#30,-,6,Ed Dickson,BAL,26,8,4,4,0,,0,
#31,-,6,Julius Thomas,DEN,25,9,4,4,0,,1,
#32,-,6,Dallas Clark,BAL,34,8,3,,,,,
#33,-,6,Anthony Fasano,KC,29,10,3,,,,,
#34,-,6,Luke Stocker,TB,25,5,3,,,,,
#35,-,6,Dion Sims,MIA,22,6,3,,,,,
#36,-,6,David Ausberry,OAK,25,7,3,,,,,
#37,-,7,Travis Kelce,KC,23,10,3,,,,,
#38,-,7,Jake Ballard,NE,25,10,3,,,,,
#39,-,7,Joel Dreessen,DEN,31,9,3,,,,,
#40,-,7,Vance McDonald,SF,23,9,3,,,,,
#41,-,7,Tony Scheffler,DET,30,9,3,,,,,
#42,-,7,Kellen Winslow,NYJ,30,10,2,,,,,
#43,-,7,Jeff Cumberland,NYJ,26,10,2,,,,,
#44,-,7,James Casey,PHI,28,12,2,,,,,
#45,-,7,Jacob Tamme,DEN,28,9,2,,,,,
#46,-,7,Charles Clay,MIA,24,6,2,,,,,
#47,-,7,Garrett Graham,HOU,27,8,2,,,,,
