Rank,Overall,Tier,Player,Tm,AGE,BYE,62S,ESPN points,ESPN - roto pts,rotoCal$,ESPN$,ESPN - roto $
#1,11,1,Calvin Johnson,DET,27,9,13,15,2,39.89,41,1.11
#2,16,2,Dez Bryant,DAL,24,11,12,13,1,35.21,32,-3.21
#3,20,2,A.J. Green,CIN,25,12,12,13,1,35.21,32,-3.21
#4,21,2,Brandon Marshall,CHI,29,8,12,13,1,34.21,30,-4.21
#5,25,2,Julio Jones,ATL,24,6,11,12,1,32.53,28,-4.53
#6,26,2,Demaryius Thomas,DEN,25,9,11,12,1,31.53,26,-5.53
#7,29,3,Larry Fitzgerald,ARZ,29,9,11,11,0,29.53,23,-6.53
#8,31,3,Vincent Jackson,TB,30,5,11,11,0,28.53,25,-3.53
#9,34,3,Andre Johnson,HOU,32,8,11,11,0,28.53,25,-3.53
#10,36,3,Roddy White,ATL,31,6,10,11,1,25.84,25,-0.84
#11,37,3,Randall Cobb,GB,23,4,10,11,1,25.84,24,-1.84
#12,38,3,Victor Cruz,NYG,26,9,10,10,0,24.84,19,-5.84
#13,39,3,Dwayne Bowe,KC,28,10,10,8,-2,24.84,13,-11.84
#14,40,3,Reggie Wayne,IND,34,8,9,9,0,22.16,18,-4.16
#15,41,3,Marques Colston,NO,30,7,9,10,1,22.16,18,-4.16
#16,44,3,Danny Amendola,NE,27,10,9,7,-2,21.16,3,-18.16
#17,47,4,Pierre Garcon,WAS,27,5,9,8,-1,19.16,3,-16.16
#18,48,4,Antonio Brown,PIT,25,5,9,8,-1,18.16,14,-4.16
#19,49,4,Hakeem Nicks,NYG,25,9,9,8,-1,18.16,3,-15.16
#20,50,4,Torrey Smith,BAL,24,8,9,9,0,17.16,15,-2.16
#21,51,4,Jordy Nelson,GB,28,4,9,8,-1,17.16,14,-3.16
#22,52,4,Mike Wallace,MIA,27,6,9,10,1,16.16,19,2.84
#23,53,4,Eric Decker,DEN,26,9,8,8,0,14.47,14,-0.47
#24,63,4,Cecil Shorts,JAC,25,9,8,8,0,13.47,13,-0.47
