NAME,$,POINTS
Adrian Peterson,$60 ,280
Arian Foster,$56 ,262
Marshawn Lynch,$48 ,234
Ray Rice,$48 ,232
Jamaal Charles,$47 ,229
C.J. Spiller,$47 ,228
Trent Richardson,$46 ,226
Doug Martin,$46 ,226
Alfred Morris,$44 ,219
Calvin Johnson,$41 ,237
LeSean McCoy,$39 ,200
Aaron Rodgers,$39 ,352
Steven Jackson,$37 ,192
Drew Brees,$35 ,335
Matt Forte,$35 ,183
Stevan Ridley,$34 ,182
Frank Gore,$33 ,178
Tom Brady,$33 ,326
Peyton Manning,$33 ,325
Cam Newton,$33 ,323
Dez Bryant,$32 ,202
Maurice Jones-Drew,$32 ,173
Chris Johnson,$32 ,173
A.J. Green,$32 ,202
Darren McFadden,$31 ,169
Matt Ryan,$31 ,314
Brandon Marshall,$30 ,196
Jimmy Graham,$30 ,174
David Wilson,$30 ,165
Rob Gronkowski,$30 ,173
Colin Kaepernick,$29 ,306
Reggie Bush,$29 ,161
Eddie Lacy,$28 ,160
Julio Jones,$28 ,187
Darren Sproles,$27 ,154
DeMarco Murray,$26 ,152
Demaryius Thomas,$26 ,180
Andre Johnson,$25 ,177
Roddy White,$25 ,177
Matthew Stafford,$25 ,288
Vincent Jackson,$25 ,175
Tony Romo,$24 ,284
Montee Ball,$24 ,143
Randall Cobb,$24 ,171
Andrew Luck,$24 ,281
Russell Wilson,$23 ,280
Ryan Mathews,$23 ,141
Lamar Miller,$23 ,138
Larry Fitzgerald,$23 ,167
Rashard Mendenhall,$22 ,134
Robert Griffin III,$21 ,269
Daryl Richardson,$21 ,131
Giovani Bernard,$20 ,129
DeAngelo Williams,$20 ,129
Shane Vereen,$20 ,129
Chris Ivory,$20 ,129
Ahmad Bradshaw,$20 ,128
BenJarvus Green-Ellis,$20 ,128
Mike Wallace,$19 ,155
Wes Welker,$19 ,154
Tony Gonzalez,$19 ,133
Victor Cruz,$19 ,152
Marques Colston,$18 ,150
Reggie Wayne,$18 ,149
James Jones,$17 ,146
Jason Witten,$16 ,123
Andre Brown,$16 ,114
Torrey Smith,$15 ,139
Steve Smith,$15 ,138
Vernon Davis,$14 ,114
Jordy Nelson,$14 ,134
Eric Decker,$14 ,134
Antonio Brown,$14 ,134
Sidney Rice,$14 ,134
Eli Manning,$13 ,232
Dwayne Bowe,$13 ,132
DeSean Jackson,$13 ,131
Cecil Shorts,$13 ,131
Greg Olsen,$11 ,102
Antonio Gates,$10 ,99
Brandon Myers,$10 ,98
Jermichael Finley,$10 ,98
Kyle Rudolph,$10 ,98
Owen Daniels,$10 ,98
Jared Cook,$9 ,94
Martellus Bennett,$8 ,93
Stephen Gostkowski,$7 ,157
Blair Walsh,$7 ,157
Matt Bryant,$6 ,150
Justin Tucker,$5 ,148
Ronnie Hillman,$5 ,112
Vick Ballard,$4 ,106
Mark Ingram,$4 ,103
Phil Dawson,$4 ,144
Matt Prater,$4 ,144
Matt Schaub,$4 ,231
Steve Johnson,$4 ,128
T.Y. Hilton,$3 ,126
Anquan Boldin,$3 ,125
Pierre Garcon,$3 ,124
Hakeem Nicks,$3 ,124
Carson Palmer,$3 ,221
Mike Williams,$3 ,123
Ben Roethlisberger,$3 ,221
Greg Jennings,$3 ,122
Randy Bullock,$3 ,141
Josh Freeman,$3 ,219
Tavon Austin,$3 ,120
Philip Rivers,$3 ,217
Joe Flacco,$3 ,216
Josh Gordon,$3 ,118
Miles Austin,$3 ,118
Lance Moore,$3 ,117
Chris Givens,$3 ,117
Denarius Moore,$3 ,116
Danny Amendola,$3 ,115
Isaac Redman,$3 ,85
