Rank,Tier,Player,Tm,AGE,BYE,62S,ESPN points,ESPN - roto pts,rotoCal$,ESPN$,ESPN - roto $
#1,1,Matt Bryant,ATL,38,6,10,10,0,11.25,6,-5.25
#2,1,Blair Walsh,MIN,23,5,10,10,0,10.25,7,-3.25
#3,1,Stephen Gostkowski,NE,29,10,9,10,1,9.93,7,-2.93
#4,1,Matt Prater,DEN,29,9,9,9,0,8.93,4,-4.93
#5,1,Justin Tucker,BAL,23,8,9,9,0,8.93,5,-3.93
#6,1,Sebastian Janikowski,OAK,35,7,9,9,0,7.93,2,-5.93
#7,2,David Akers,DET,38,9,9,8,-1,5.93,1,-4.93
#8,2,Josh Brown,NYG,34,9,9,9,0,4.93,2,-2.93
#9,2,Randy Bullock,HOU,23,8,9,9,0,4.93,3,-1.93
#10,2,Greg Zuerlein,STL,25,11,9,8,-1,3.93,0,-3.93
#11,2,Kai Forbath,WAS,25,5,9,,,,,
#12,2,Dan Bailey,DAL,25,11,8,8,0,2.6,1,-1.6
#14,2,Garrett Hartley,NO,27,7,8,,,,,
#15,2,Phil Dawson,SF,38,9,8,9,1,1.6,4,2.4
#16,3,Steven Hauschka,SEA,28,12,8,8,0,,0,
#17,3,Caleb Sturgis,MIA,24,6,8,,,,,
#18,3,Josh Scobee,JAC,31,9,8,,,,,
#19,3,Mason Crosby,GB,28,4,8,,,,,
#20,3,Ryan Succop,KC,26,10,8,,,,,
#21,3,Nick Novak,SD,32,8,8,,,,,
#22,3,Jay Feely,ARZ,37,9,8,,,,,
#23,3,Adam Vinatieri,IND,40,8,8,,,,,
#24,3,Robbie Gould,CHI,31,8,8,,,,,
#25,3,Shaun Suisham,PIT,31,5,8,,,,,
#26,3,Alex Henery,PHI,26,12,8,,,,,
#27,3,Dustin Hopkins,BUF,22,12,7,,,,,
#28,3,Rob Bironas,TEN,35,8,7,,,,,
#29,3,Mike Nugent,CIN,31,12,7,,,,,
#30,3,Shayne Graham,CLE,35,10,7,,,,,
#31,3,Nick Folk,NYJ,28,10,7,,,,,
#32,3,Graham Gano,CAR,26,4,7,,,,,
#999,10,Lawrence Tynes,TB,35,5,8,,,,,
