Rank,Overall,Tier,Player,Tm,AGE,BYE,62S,ESPN points,ESPN - roto pts,rotoCal$,ESPN$,ESPN - roto $
#1,27,1,Aaron Rodgers,GB,29,4,22,23,1,39.36,39,-0.36
#2,30,1,Drew Brees,NO,34,7,21,22,1,36.94,35,-1.94
#3,45,2,Cam Newton,CAR,24,4,20,21,1,33.51,33,-0.51
#4,61,2,Peyton Manning,DEN,37,9,19,21,2,31.09,33,1.91
#5,62,2,Tom Brady,NE,36,10,20,21,1,32.51,33,0.49
#6,75,3,Matthew Stafford,DET,25,9,19,19,0,28.09,25,-3.09
#7,76,3,Russell Wilson,SEA,24,12,19,18,-1,28.09,23,-5.09
#8,77,3,Robert Griffin III,WAS,23,5,20,17,-3,28.51,21,-7.51
#9,78,3,Matt Ryan,ATL,28,6,18,20,2,25.66,31,5.34
#10,87,3,Andrew Luck,IND,23,8,19,18,-1,26.09,24,-2.09
#11,88,3,Colin Kaepernick,SF,25,9,19,20,1,26.09,29,2.91
#12,90,3,Tony Romo,DAL,33,11,17,18,1,22.23,24,1.77
#13,107,4,Michael Vick,PHI,33,12,18,13,-5,21.66,2,-19.66
#14,115,4,Ben Roethlisberger,PIT,31,5,17,14,-3,19.23,3,-16.23
#15,125,4,Jay Cutler,CHI,30,8,16,13,-3,17.81,2,-15.81
#16,126,4,Eli Manning,NYG,32,9,16,15,-1,16.81,13,-3.81
#17,130,5,Joe Flacco,BAL,28,8,16,14,-2,14.81,3,-11.81
#18,131,5,Ryan Tannehill,MIA,25,6,16,13,-3,13.81,2,-11.81
#19,134,5,Sam Bradford,STL,25,11,15,13,-2,12.38,2,-10.38
#20,143,5,Carson Palmer,ARZ,33,9,15,14,-1,11.38,3,-8.38
#21,144,5,Josh Freeman,TB,25,5,15,14,-1,11.38,3,-8.38
#22,174,5,Andy Dalton,CIN,25,12,15,14,-1,10.38,3,-7.38
#23,196,5,Matt Schaub,HOU,32,8,14,15,1,8.96,4,-4.96
#24,-,5,Philip Rivers,SD,31,8,14,14,0,7.96,3,-4.96
#25,-,5,Alex Smith,KC,29,10,14,11,-3,7.96,0,-7.96
#26,-,6,Brandon Weeden,CLE,29,10,13,11,-2,3.53,0,-3.53
#27,-,6,E.J. Manuel,BUF,23,12,13,,,,,
#28,-,6,Jake Locker,TEN,25,8,12,11,-1,1.11,0,-1.11
#29,-,6,Christian Ponder,MIN,25,5,8,11,3,,0,
#30,-,6,Geno Smith,NYJ,22,10,8,,,,,
#31,-,6,Matt Flynn,OAK,28,7,8,,,,,
#32,-,6,Blaine Gabbert,JAC,23,9,7,,,,,
#33,-,7,Chad Henne,JAC,28,9,4,,,,,
#34,-,7,Nick Foles,PHI,24,12,4,,,,,
#35,-,7,Kirk Cousins,WAS,25,5,3,,,,,
#36,-,7,Mark Sanchez,NYJ,26,10,3,,,,,
#37,-,7,Kevin Kolb,BUF,29,12,3,,,,,
#38,-,7,Matt Cassel,MIN,31,5,3,,,,,
#39,-,7,Mike Glennon,TB,23,5,1,,,,,
#40,-,7,Ryan Fitzpatrick,TEN,30,8,1,,,,,
#41,-,7,Matt Barkley,PHI,22,12,0,,,,,
#42,-,7,Ryan Nassib,NYG,23,9,0,,,,,
#43,-,7,Bruce Gradkowski,PIT,30,5,0,,,,,
#44,-,7,Brock Osweiler,DEN,22,9,0,,,,,
#45,-,7,Ryan Mallett,NE,25,10,0,,,,,
#46,-,7,Chase Daniel,KC,26,10,0,,,,,
#47,-,7,Drew Stanton,ARZ,29,9,0,,,,,
#48,-,7,Matt Moore,MIA,29,6,0,,,,,
#49,-,7,Matt Hasselbeck,IND,37,8,0,,,,,
#50,-,7,T.J. Yates,HOU,26,8,0,,,,,
