Rank,Overall,Tier,Player,Tm,AGE,BYE,62S,ESPN points,ESPN - roto pts,rotoCal$,ESPN$,ESPN - roto $
#1,1,1,Adrian Peterson,MIN,28,5,18,18,0,71.62,60,-11.62
#2,2,2,Doug Martin,TB,24,5,15,15,0,58.01,46,-12.01
#3,3,2,Arian Foster,HOU,27,8,15,17,2,58.01,56,-2.01
#4,4,2,C.J. Spiller,BUF,26,12,14,15,1,53.48,47,-6.48
#5,5,2,Jamaal Charles,KC,26,10,14,15,1,53.48,47,-6.48
#6,6,2,LeSean McCoy,PHI,25,12,14,13,-1,52.48,39,-13.48
#7,7,3,Marshawn Lynch,SEA,27,12,14,15,1,50.48,48,-2.48
#8,8,3,Trent Richardson,CLE,22,10,13,15,2,45.95,46,0.05
#9,9,3,Ray Rice,BAL,26,8,13,15,2,45.95,48,2.05
#10,10,3,Alfred Morris,WAS,24,5,13,14,1,44.95,44,-0.95
#11,12,4,Steven Jackson,ATL,30,6,13,12,-1,42.95,37,-5.95
#12,13,4,Stevan Ridley,NE,24,10,13,12,-1,41.95,34,-7.95
#13,14,4,Matt Forte,CHI,27,8,12,12,0,38.41,35,-3.41
#14,17,4,Frank Gore,SF,30,9,12,11,-1,37.41,33,-4.41
#15,18,4,Chris Johnson,TEN,27,8,11,11,0,33.88,32,-1.88
#16,19,4,David Wilson,NYG,22,9,11,11,0,32.88,30,-2.88
#17,22,4,Maurice Jones-Drew,JAC,28,9,11,11,0,32.88,32,-0.88
#18,23,5,Lamar Miller,MIA,22,6,11,9,-2,29.88,23,-6.88
#19,24,5,Reggie Bush,DET,28,9,11,10,-1,29.88,29,-0.88
#20,28,5,Darren McFadden,OAK,25,7,10,11,1,25.34,31,5.66
#21,32,5,Chris Ivory,NYJ,25,10,10,8,-2,25.34,20,-5.34
#22,33,5,DeMarco Murray,DAL,25,11,10,10,0,24.34,26,1.66
#23,35,5,Darren Sproles,NO,30,7,10,10,0,24.34,27,2.66
#24,42,5,Daryl Richardson,STL,23,11,10,8,-2,23.34,21,-2.34
#25,43,5,Eddie Lacy,GB,22,4,10,10,0,23.34,28,4.66
#26,54,5,Giovani Bernard,CIN,21,12,9,8,-1,18.81,20,1.19
#27,55,5,Ryan Mathews,SD,25,8,9,9,0,18.81,23,4.19
#28,56,6,Rashard Mendenhall,ARZ,26,9,9,8,-1,15.81,22,6.19
#29,57,6,Ahmad Bradshaw,IND,27,8,9,8,-1,15.81,20,4.19
#30,58,6,Shane Vereen,NE,24,10,8,8,0,11.27,20,8.73
#31,59,6,Montee Ball,DEN,22,9,8,9,1,11.27,24,12.73
#32,60,6,DeAngelo Williams,CAR,30,4,8,8,0,10.27,20,9.73
#33,74,6,Andre Brown,NYG,26,9,7,7,0,6.74,16,9.26
#34,79,6,Mark Ingram,NO,23,7,6,6,0,2.21,4,1.79
#35,80,7,Ronnie Hillman,DEN,21,9,6,7,1,0.21,5,4.79
#36,81,7,Ben Tate,HOU,25,8,6,4,-2,,1,
#37,102,7,Isaiah Pead,STL,23,11,6,5,-1,,2,
#38,103,7,Bernard Pierce,BAL,23,8,6,4,-2,,1,
